CN.ALB PO.GOWB 3.191 3.0386 1.7373919814e+13 -123.185 48.7369 -124.829 49.27 133
CN.ALB PO.HBDB 3.1719 3.0916 1.4819464872e+14 -122.214 49.1697 -124.829 49.27 190
CN.ALB PO.KELB 3.2702 2.9782 9.4519116056e+12 -123.57 48.6611 -124.829 49.27 114
CN.ALB PO.KLNB 3.2842 2.9679 1.04908573254e+14 -123.571 48.6611 -124.829 49.27 114
CN.ALB PO.PIMB 3.1807 3.0709 8.19617140487e+12 -122.666 49.2743 -124.829 49.27 156
CN.ALB PO.SILB 3.2868 3.9083 1.98205691746e+13 -123.282 48.602 -124.829 49.27 135
CN.ALB PO.SSIB 3.2015 3.9904 5.85614671257e+13 -123.387 48.7558 -124.829 49.27 119
CN.ALB PO.TSJB 3.1495 2.9395 1.22648399066e+13 -123.989 48.6013 -124.829 49.27 96
CN.ALB PO.TWGB 3.5481 4.3308 1.83840260656e+13 -124.256 48.6076 -124.829 49.27 84
CN.ALB TA.A04A 3.0484 3.4668 1.39977555021e+13 -122.707 48.7197 -124.829 49.27 166
CN.ALB TA.A04D 2.2025 3.0104 1.16390048324e+12 -122.706 48.7201 -124.829 49.27 166
CN.ALB UW.ATES 2.7542 3.7614 1.24221947713e+12 -122.06 48.2362 -124.829 49.27 233
CN.ALB UW.MCW 4.3677 3.8797 9.62777780944e+12 -122.833 48.679 -124.829 49.27 159
CN.ALB UW.OCP 2.1199 2.3755 3.60653017714e+11 -124.625 48.2979 -124.829 49.27 109
CN.ALB UW.OPC 3.1027 3.5407 4.46733148896e+12 -123.413 48.1001 -124.829 49.27 166
CN.ALB UW.PASS 3.1555 3.3798 2.07592571854e+12 -122.085 48.9983 -124.829 49.27 201
CN.ALB UW.SQM 3.3879 3.5042 6.49938921957e+12 -123.048 48.0737 -124.829 49.27 186
CN.ALB UW.STW 3.7972 3.6414 3.88105441305e+12 -123.671 48.1507 -124.829 49.27 150
CN.ALB XG.BH03 2.9947 2.7509 5.49625743365e+11 -123.087 48.0012 -124.829 49.27 190
CN.ALB XG.BH04 2.166 2.8791 6.45944514298e+11 -123.091 48.004 -124.829 49.27 190
CN.ALB XG.BH06 1.5659 1.9554 8.66899322432e+11 -123.085 48.0087 -124.829 49.27 190
CN.ALB XG.BH09 2.7821 2.8892 2.71710495116e+12 -123.087 48.0062 -124.829 49.27 190
