XBCM01 XBCM02 3.4831 3.8502 37.0234 13.2890 2.6980 9.8340 2.3890 385
XBCM01 XBCM03 3.3044 3.8663 31.8464 15.0340 3.5190 9.8340 2.3890 591
XBCM01 XBCM04 3.2267 3.8754 90.4544 11.9590 2.9790 9.8340 2.3890 245
XBCM01 XBCM06 3.1955 3.8365 147.1907 11.2680 2.3850 9.8340 2.3890 159
XBCM01 XBCM07 3.2856 3.8842 56.0965 11.4560 3.8700 9.8340 2.3890 244
XBCM01 XBCM10 3.4149 3.8272 45.8824 10.6190 4.2230 9.8340 2.3890 221
XBCM01 XBCM12 3.2669 3.8533 31.5895 11.6340 4.4810 9.8340 2.3890 306
XBCM01 XBCM13 3.5054 3.7327 11.9454 9.4620 4.5880 9.8340 2.3890 248
XBCM01 XBCM14 3.2483 3.8678 21.8627 14.3580 4.4220 9.8340 2.3890 550
XBCM01 XBCM15 3.1997 3.762 44.1971 9.9330 5.0340 9.8340 2.3890 294
XBCM01 XBCM17 3.3082 3.8309 21.0024 12.3120 5.5460 9.8340 2.3890 445
XBCM01 XBCM18 3.5448 3.827 41.1313 9.3550 5.7230 9.8340 2.3890 374
XBCM01 XBCM19 3.4267 3.8132 29.1826 11.2320 5.9750 9.8340 2.3890 427
XBCM01 XBCM20 3.5308 3.8088 33.9076 10.0540 6.2250 9.8340 2.3890 427
XBCM01 XBCM21 3.4285 3.17 20.4005 12.6200 6.4670 9.8340 2.3890 548
XBCM01 XBCM22 3.28 3.8891 14.1299 13.2680 6.4770 9.8340 2.3890 593
XBCM01 XBCM23 3.2913 3.763 18.8194 10.7930 6.3700 9.8340 2.3890 455
XBCM01 XBCM25 3.5962 3.825 21.2725 11.8110 6.7600 9.8340 2.3890 533
XBCM01 XBCM26 3.5211 3.8213 17.9603 13.5480 7.2650 9.8340 2.3890 680
XBCM01 XBCM27 3.4232 3.8177 16.5184 12.6670 7.3590 9.8340 2.3890 635
XBCM01 XBCM28 3.5134 3.8137 7.6597 13.2370 8.4690 9.8340 2.3890 774
XBCM01 XBCM29 3.4083 3.8149 15.3167 13.3850 9.3470 9.8340 2.3890 867
XBCM01 XBCM30 3.435 3.8162 25.137 13.9500 9.7570 9.8340 2.3890 937
XBCM01 XBCM31 3.3416 3.8538 8.7918 15.2620 10.3270 9.8340 2.3890 1067
XBCM01 XBCM32 3.5322 3.8331 19.6573 14.3720 10.6190 9.8340 2.3890 1043
XBCM02 XBCM04 3.1487 3.8215 101.4547 11.9590 2.9790 13.2890 2.6980 151
XBCM02 XBCM05 3.4454 3.8455 37.945 9.9140 2.9420 13.2890 2.6980 375
XBCM02 XBCM06 3.2993 3.8733 48.4938 11.2680 2.3850 13.2890 2.6980 227
XBCM02 XBCM07 3.3459 3.9076 37.8978 11.4560 3.8700 13.2890 2.6980 241
XBCM02 XBCM09 3.5065 3.8412 34.5597 9.3280 4.2340 13.2890 2.6980 471
XBCM02 XBCM10 3.5217 3.9058 32.8997 10.6190 4.2230 13.2890 2.6980 341
XBCM02 XBCM13 3.5066 3.8969 10.8907 9.4620 4.5880 13.2890 2.6980 473
XBCM02 XBCM14 3.2797 3.8201 48.9123 14.3580 4.4220 13.2890 2.6980 225
XBCM02 XBCM15 3.3096 3.8565 16.2213 9.9330 5.0340 13.2890 2.6980 454
XBCM02 XBCM17 3.3253 3.8561 29.804 12.3120 5.5460 13.2890 2.6980 334
XBCM02 XBCM18 3.462 3.8724 19.423 9.3550 5.7230 13.2890 2.6980 551
